Статус КИ,Фаза КИ,Города,Название ЛП,"Название организации, проводящей КИ",Номер и дата РКИ,Дата начала и окончания КИ,Терапевтическая область,Название протокола,протокол_номер
Проводится,Биоэквивалентность,—,НОВЕМА® НАЙТ (Дифенгидрамин + Напроксен),"АО ""Отисифарм""",111 25.03.2024,25.03.2024 - 31.12.2024,Терапия (общая),"Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное, двухпоследовательное исследование сравнительной фармакокинетики и биоэквивалентности лекарственного препарата НОВЕМА® НАЙТ (МНН: дифенгидрамин + напроксен), капсулы, 25 мг + 220 мг (производитель ОАО Фармстандарт-Лексредства, Россия) и референтного лекарственного препарата у здоровых добровольцев натощак",Протокол OTC-NNC-0123
Проводится,Биоэквивалентность,—,Напроксен,"АО ""Отисифарм""",112 25.03.2024,25.03.2024 - 31.12.2024,Терапия (общая),"Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное, двухпоследовательное исследование сравнительной фармакокинетики и биоэквивалентности лекарственного препарата  (МНН: напроксен), капсулы, 275 мг (производитель ОАО Фармстандарт-Лексредства, Россия) и референтного лекарственного препарата у здоровых добровольцев натощак",Протокол OTC-NPC-0123
Проводится,Биоэквивалентность,Ярославль,PZT-04/2024 (Эмпаглифлозин),"Общество с ограниченной ответственностью ""Фармасинтез-Тюмень""",116 26.03.2024,26.03.2024 - 05.02.2026,"Терапия (общая), Эндокринология (терапевтическая), Диабетология","Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препаратов  (ООО Фармасинтез-Тюмень, Россия) и референтного препарата у здоровых субъектов  после однократного приема каждого из препаратов натощак",Протокол PZT-04/2024
Проводится,Биоэквивалентность,Иваново,Эплеренон-СЗ (Эплеренон),"Непубличное акционерное общество ""Северная звезда"" (НАО ""Северная звезда"")",115 26.03.2024,26.03.2024 - 13.02.2026,Терапия (общая),"Открытое, рандомизированное, перекрестное, в двух периодах исследование сравнительной фармакокинетики и биоэквивалентности препаратов Эплеренон-СЗ таблетки, покрытые пленочной оболочкой, 50 мг (НАО Северная звезда, Россия) и Инспра® таблетки, покрытые пленочной оболочкой, 50 мг (Виатрис Спешиалти ЭлЭлСи, США) с участием здоровых добровольцев натощак",Протокол BE-15112023-EplnSZ
Проводится,I,Ярославль,GP40331 (Семаглутид),Общество с ограниченной ответственностью «ГЕРОФАРМ»,117 27.03.2024,27.03.2024 - 11.02.2026,Эндокринология (терапевтическая),"Открытое рандомизированное исследование сравнительной фармакокинетики и  биоэквивалентности препаратов GP40331, раствор для подкожного введения, 0,68 мг/мл (ООО ГЕРОФАРМ, Россия) и Вегови®, раствор для подкожного введения, 0,68 мг/мл (Ново Нордиск А/С, Дания) в параллельных группах у здоровых добровольцев",Протокол GP40331-P4-01-02
Проводится,I,Ярославль,GP40331 (Семаглутид),Общество с ограниченной ответственностью «ГЕРОФАРМ»,118 27.03.2024,27.03.2024 - 11.02.2026,Эндокринология (терапевтическая),"Открытое рандомизированное исследование сравнительной фармакокинетики и биоэквивалентности препаратов GP40331, раствор для подкожного введения, 3,2 мг/мл (ООО ГЕРОФАРМ, Россия) и Вегови®, раствор для подкожного введения, 3,2 мг/мл (Ново Нордиск А/С, Дания) в параллельных группах у здоровых добровольцев",Протокол GP40331-P4-01-01
Проводится,Биоэквивалентность,Ярославль,RB-0003,"ООО ""ПСК Фарма""",119 28.03.2024,28.03.2024 - 27.12.2024,Гастроэнтерология,"Открытое рандомизированное перекрестное сравнительное исследование фармакокинетических параметров, биоэквивалентности, безопасности, переносимости и иммуногенности лекарственного препарата RB-0003 (ООО ПСК Фарма, Россия) с участием здоровых добровольцев",Протокол RB-003-112023
Проводится,I,—,ORP-001 (Канакинумаб),ООО «Орфан-Био»,120 28.03.2024,15.04.2024 - 31.08.2025,Иммунология,"Одноцентровое сравнительное рандомизированное двойное слепое клиническое исследование фармакокинетики, иммуногенности и безопасности однократного подкожного введения препарата ORP-001 (канакинумаб, ООО ОрфанБио, Россия) и препарата Иларис® (канакинумаб, Новартис Фарма Штейн АГ, Швейцария) у здоровых добровольцев.",Протокол ORP-001-1/PRIMA-1
Проводится,Биоэквивалентность,Санкт-Петербург,Валсартан + Сакубитрил,"ЗАО ""Фармацевтический завод ЭГИС""",121 29.03.2024,01.04.2024 - 30.12.2024,"Терапия (общая), Кардиология","Одноцентровое открытое рандомизированное репликативное четырехпериодное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Валсартан+Сакубитрил, 103 мг + 97 мг (102,8 мг валсартана + 97,2 мг сакубитрила), таблетки, покрытые пленочной оболочкой (ЗАО Фармацевтический завод ЭГИС, Венгрия) и Юперио, 200 мг (102,8 мг + 97,2 мг), таблетки, покрытые пленочной оболочкой (Новартис Оверсиз Инвестментс АГ, Швейцария) у здоровых добровольцев при приеме натощак",Протокол BE-VAL+SAC-EGIS-2023/Egis Code:MC-0291
Проводится,Биоэквивалентность,Москва,Фебуксостат,Тева Фармацевтические предприятия Лтд.,122 02.04.2024,02.04.2024 - 02.11.2024,Терапия (общая),"Открытое, сравнительное, рандомизированное, двухпоследовательное, перекрестное, четырехэтапное, одноцентровое исследование сравнительной биодоступности и биоэквивалентности препаратов Фебуксостат (Тева) таблетки, покрытые пленочной оболочкой, 120 мг и Аденурик® (Менарини) таблетки, покрытые пленочной оболочкой, 120 мг, после приема внутрь натощак здоровыми добровольцами.",Протокол BE-FEB01-24
